	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
68	68	-106.103773	-1.0164229999999999	-6289269.0770000005	-60248.14644	5669	-1.06236	-106.146226	-1.023099	-106.11695900000001	281.81908500000003	-1.004701	-106.106022	-6289402.362000001	-59553.374379999994	5673	0	Vent	70	36.698302856209004	2897.1732140330514	10.280259103222377	0	NotEquant	4.0	3.0	3.0
69	69	-105.963209	-1.4178540000000002	-6280937.177	-84042.85368	5654	-1.432333	-105.973274	-1.398164	-105.954048	154.825133	-1.446966	-105.97891399999999	-6281868.052999999	-85768.50048	5663	0	Vent	71	29.35808409915987	2319.5551103021394	14.981773729864257	0	NotEquant	1.0	3.0	3.0
70	70	-105.84339299999999	4.702683	-6273835.092	278750.1287	6218	4.689555	-105.854982	4.713526	-105.838398	854.7297900000001	4.715033	-105.832971	-6273217.329	279482.1358	6224	0	Vent	72	34.58589719959957	1722.7460075694735	2.015544594004935	0	NotEquant	1.0	3.0	3.0
71	71	-105.940099	4.665624	-6279567.324	276553.4707	6182	4.651679	-105.954572	4.675498999999999	-105.93467199999999	1067.175101	4.677080999999999	-105.93145600000001	-6279054.989	277232.5872	6186	0	Vent	73	39.782207215618264	1833.9609048447628	1.7185192037616353	0	NotEquant	1.0	3.0	3.0
72	72	-105.911158	4.483153	-6277851.8379999995	265737.5453	6240	4.457599	-105.922917	4.4975510000000005	-105.910102	221.327846	4.45824	-105.92643400000001	-6278757.3270000005	264260.8374	6248	0	Vent	74	17.73278580916608	2481.747449994452	11.21299237690341	0	NotEquant	2.0	3.0	3.0
73	73	-105.727275	4.447506	-6266952.231000001	263624.5696	6330	4.42949	-105.74446200000001	4.452255	-105.722149	239.56360899999999	4.442723	-105.73013	-6267121.481000001	263341.0755	6337	0	Vent	75	44.33853062544261	1883.2574922479732	7.861200205278146	0	NotEquant	278.0	3.0	3.0
74	74	-105.897732	4.384258999999999	-6277056.021000001	259875.6067	6223	4.370464	-105.906778	4.394284	-105.89908899999999	238.62760699999998	4.392175	-105.89614499999999	-6276961.946	260344.8528	6224	0	Vent	76	17.84059251098053	1480.547938990845	6.204428555455636	0	NotEquant	1.0	3.0	3.0
75	75	-105.814205	4.282385	-6272105.009	253837.0985	6209	4.261806	-105.827472	4.290753	-105.81224499999999	131.176486	4.260777	-105.825865	-6272796.114	252556.2624	6214	0	Vent	77	27.679404478860366	1934.0360549506033	14.74377088398757	0	NotEquant	12.0	3.0	3.0
76	76	-105.634302	4.300456	-6261441.293	254908.2308	6198	4.276408999999999	-105.64515700000001	4.321035	-105.62661299999999	187.37873100000002	4.283677	-105.645431	-6262100.945	253913.6743	6207	0	Vent	78	22.50712734488879	2858.07908336158	15.252953566867628	0	NotEquant	6.0	3.0	3.0
77	77	-105.94190400000001	3.8755949999999997	-6279674.344	229724.7211	6096	3.865268	-105.952307	3.878083	-105.94341200000001	395.168908	3.8779790000000003	-105.939799	-6279549.522000001	229866.045	6096	0	Vent	79	34.703244404061	922.2875962856768	2.333907292842171	0	NotEquant	44.0	3.0	3.0
78	78	-105.96037700000001	3.829414	-6280769.279	226987.3831	6082	3.8144139999999997	-105.97243799999998	3.840496	-105.95630600000001	139.980021	3.808642	-105.97393999999998	-6281573.217999999	225756.0879	6088	0	Vent	80	31.679497042324293	1813.3906637810505	12.95463917512236	0	NotEquant	27.0	3.0	3.0
79	79	-105.82866200000001	3.591685	-6272961.915	212896.0431	6085	3.595379	-105.83378799999998	3.583619	-105.831828	408.108384	3.5886160000000005	-105.82380800000001	-6272674.19	212714.0991	6088	0	Vent	81	-9.44415530710694	705.3602695778528	1.7283650550483491	0	NotEquant	80.0	3.0	3.0
80	80	-105.90134599999999	3.620598	-6277270.247	214609.8547	6022	3.587656	-105.92531699999999	3.6458510000000004	-105.891848	158.476048	3.6139629999999996	-105.902451	-6277335.761	214216.5596	6022	0	Vent	82	29.85359303430808	3970.067251607701	25.051528617168074	0	NotEquant	6.0	3.0	3.0
81	81	-105.774048	3.284886	-6269724.715	194710.5975	5884	3.263402	-105.782491	3.288278	-105.77721399999999	642.321286	3.284814	-105.790681	-6270710.597999999	194706.3663	5888	0	Vent	83	11.957576687690292	1504.4759017181664	2.3422482401091815	0	NotEquant	1.0	3.0	3.0
82	82	-106.180035	3.447521	-6293789.487000001	204350.7879	5925	3.428601	-106.21817800000001	3.516194	-106.13541000000001	65.017072	3.518563	-106.129995	-6290823.377	208561.767	5947	0	Vent	84	43.322635765505794	7124.104220518904	109.57282451167448	0	NotEquant	1.0	3.0	3.0
83	83	-106.024876	3.04248	-6284592.469	180342.0854	5895	3.0372790000000003	-106.030153	3.049491	-106.025178	183.35438100000002	3.035699	-106.02644699999999	-6284685.557	179940.1161	5898	0	Vent	85	22.13693038587581	780.0441715186728	4.2542979734892326	0	NotEquant	50.0	3.0	3.0
84	84	-106.40815500000001	3.13928	-6307311.19	186079.8622	5840	3.088699	-106.435594	3.17584	-106.39443500000002	168.218624	3.144491	-106.401873	-6306938.839	186388.7438	5852	0	Vent	86	25.248419757436928	5700.473399863626	33.88729062403712	0	NotEquant	19.0	3.0	3.0
85	85	-106.298763	3.282265	-6300827.001	194555.2589	5870	3.246157	-106.31881399999999	3.31385	-106.28293300000001	274.307326	3.317481	-106.278323	-6299615.451	196642.678	5874	0	Vent	87	27.886164342786813	4531.399075437087	16.51942418569268	0	NotEquant	1.0	3.0	3.0
86	86	-106.25913999999999	2.91705	-6298478.397000001	172907.2578	5791	2.883311	-106.27893600000002	2.947652	-106.246766	97.970787	2.871007	-106.30011499999999	-6300907.137	170178.0984	5800	0	Vent	88	26.534206941513364	4255.06447308924	43.43197195189664	0	NotEquant	9.0	3.0	3.0
87	87	-106.13338200000001	2.873121	-6291024.132	170303.3709	5803	2.852086	-106.143852	2.912049	-106.121771	82.54261600000001	2.887041	-106.12901399999998	-6290765.179	171128.4656	5805	0	Vent	89	20.19185646985741	3780.1428021302827	45.79625634993543	0	NotEquant	1.0	3.0	3.0
88	88	-106.107422	2.304955	-6289485.346	136625.5168	5669	2.27821	-106.11751100000001	2.354543	-106.09276499999999	145.382592	2.300886	-106.105709	-6289383.796	136384.3353	5674	0	Vent	90	17.94767354403687	4747.397759626661	32.65451313198943	0	NotEquant	4.0	3.0	3.0
89	89	-106.11815800000001	2.73843	-6290121.687999999	162319.6029	5786	2.706521	-106.154325	2.833585	-106.017625	246.82320499999997	2.699668	-106.16155900000001	-6292694.291	160022.0314	5798	0	Vent	91	47.05554705696754	11035.573414168994	44.710437230441904	0	NotEquant	12.0	3.0	3.0
