FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent
171	-109.412234	-3.085482	6384	-3.08169	-109.423536	-3.109946	-109.406285	126.2	-6485639.414	-183106.8205	6388	0	Vent
172	-109.192623	-3.803535	6433	-3.780707	-109.183402	-3.838112	-109.21032	564	-6472799.734	-227539.4102	6446	0	Vent
173	-109.072598	-4.320791	6642	-4.319378	-109.083156	-4.332763	-109.071259	430.5	-6468097.096	-257226.3998	6666	0	Vent
174	-109.031585	-3.305535	6361	-3.304806	-109.066473	-3.309565	-108.973199	167.7	-6458853.739	-196099.5897	6372	0	Vent
175	-107.828783	-0.930527	5962	-0.946826	-107.858051	-0.929932	-107.817362	789.4	-6388945.916	-55355.56508	5973	0	Vent
176	-107.810214	-1.208704	5907	-1.239065	-107.843363	-1.183386	-107.787446	162.5	-6392093.427	-73376.14568	5916	0	Vent
177	-108.081607	-1.554372	5953	-1.571326	-108.09862	-1.542891	-108.055195	162.5	-6405599.06	-91944.53025	5956	0	Vent
178	-108.060274	-0.508864	5883	-0.513948	-108.066985	-0.497006	-108.03805	227.5	-6404232.995	-29930.0135	5886	0	Vent
179	-129.921277	14.742652	470	14.740724	-129.944856	14.732158	-129.884894	273.4	-7698624.099	873117.2876	483	0	Vent
180	-128.785943	15.827868	772	15.827083	-128.81364	15.83465	-128.718271	220.4	-7629550.425	938839.4917	790	0	Vent
181	-128.380777	16.173783	906	16.173141	-128.388486	16.205549	-128.35822	199.9	-7607759.952	960672.1139	924	0	Vent
182	-129.786068	15.098795	480	15.104719	-129.831897	15.077165	-129.750376	284.8	-7693935.435	895344.6034	490	0	Vent
183	-123.937176	18.727109	601	18.7416	-123.98329	18.714474	-123.917617	158.9	-7345163.036	1109766.996	604	0	Vent
184	-101.326931	2.118165	4820	2.039001	-101.428296	2.180579	-101.256975	1871.5	-6002740.996	126217.915	4984	0	Vent
185	-100.398213	2.454704	4705	2.490277	-100.394763	2.413183	-100.406898	478.9	-5951226.041	147452.4543	4730	0	Vent
186	-98.587336	2.339793	4319	2.329978	-98.6216	2.35746	-98.564493	438.5	-5841060.378	139143.2649	4327	0	Vent
187	-97.318289	3.682891	4032	3.64595	-97.325071	3.706983	-97.313292	459.9	-5767420.499	221065.2464	4044	0	Vent
188	-100.729781	10.568848	3549	10.552965	-100.790814	10.567956	-100.669105	310.5	-5971683.562	626300.2686	3552	0	Vent
189	-100.835959	10.478922	3493	10.471248	-100.852021	10.474817	-100.821326	205.8	-5976259.366	621139.1457	3498	0	Vent
190	-100.976808	10.636022	3528	10.620853	-101.008574	10.636915	-100.956107	543.1	-5983711.117	630916.6813	3551	0	Vent
191	-99.769841	11.035817	3575	11.027429	-99.783404	11.039564	-99.761632	379.8	-5913327.883	654081.2262	3576	0	Vent
192	-99.667997	11.504952	3554	11.506069	-99.676503	11.493791	-99.673504	538.9	-5908678.926	681922.9264	3559	0	Vent
193	-100.034204	10.938306	3568	10.921531	-100.044626	10.946943	-100.031206	319.5	-5929474.969	648543.8954	3568	0	Vent
194	-100.64389	11.777174	3791	11.770107	-100.652171	11.773391	-100.64232	230.7	-5965644.601	697584.922	3793	0	Vent
195	-100.63612	11.958636	3786	11.949713	-100.643829	11.951854	-100.630837	143.5	-5966556.633	708263.1418	3792	0	Vent
196	-101.023947	12.858949	4516	12.843887	-101.031228	12.854452	-101.028944	258.1	-5988874.758	761986.053	4525	0	Vent
197	-100.198032	13.094063	4042	13.086996	-100.204457	13.09185	-100.195891	166.3	-5939690.418	776311.666	4046	0	Vent
198	-99.063488	13.07782	3668	13.061758	-99.076337	13.072751	-99.066486	301.5	-5871653.627	774502.5769	3671	0	Vent
199	-98.342738	12.141381	3380	12.137312	-98.37686	12.139311	-98.331602	291.4	-5831732.498	719892.4805	3389	0	Vent
200	-97.004394	12.52587	3046	12.526227	-97.00468	12.525942	-97.003966	0	-5749398.385	743436.1219	3054	1	NoVent
