	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	AspectRatio	Equant	EquantInt	Length	Orientation	Prominence	clusterID	clusterName
64	64	-106.567513	1.991343	-6316757.078	118036.2309	5627	1.996176	-106.579113	1.968961	-106.553385	123.36122	1.997229	-106.581504	-6317586.404	118385.1683	5631	0	Vent	66	17.9572778986	NotEquant	0	2215.23170945	136.625513417	1.0	3.0	
65	65	-106.522637	2.101396	-6314097.062	124559.6024	5646	2.031972	-106.578987	2.149231	-106.471245	174.601584	2.136445	-106.495154	-6312468.029	126637.1486	5653	0	Vent	67	53.9453634967	NotEquant	0	9418.94591598	42.5570125573	1.0	3.0	
66	66	-106.753072	1.877015	-6327756.031	111259.5245	5705	1.861501	-106.772678	1.881489	-106.742412	300.024852	1.878657	-106.74679	-6327383.681	111356.8434	5714	0	Vent	68	7.15010367996	NotEquant	0	2145.20879837	56.5442349561	77.0	3.0	
67	67	-106.213312	0.327485	-6295761.955	19411.57928	5643	0.314446	-106.230064	0.342618	-106.195609	296.271787	0.322702	-106.22302	-6296337.405	19128.08519	5647	0	Vent	69	8.8879938367	NotEquant	0	2633.26181684	50.7284213795	58.0	3.0	
68	68	-106.103773	-1.016423	-6289269.077	-60248.14644	5669	-1.06236	-106.146226	-1.023099	-106.116959	281.819085	-1.004701	-106.106022	-6289402.362	-59553.37438	5673	0	Vent	70	10.2802591032	NotEquant	0	2897.17321403	36.6983028562	4.0	3.0	
69	69	-105.963209	-1.417854	-6280937.177	-84042.85368	5654	-1.432333	-105.973274	-1.398164	-105.954048	154.825133	-1.446966	-105.978914	-6281868.053	-85768.50048	5663	0	Vent	71	14.9817737299	NotEquant	0	2319.5551103	29.3580840992	1.0	3.0	
70	70	-105.843393	4.702683	-6273835.092	278750.1287	6218	4.689555	-105.854982	4.713526	-105.838398	854.72979	4.715033	-105.832971	-6273217.329	279482.1358	6224	0	Vent	72	2.015544594	NotEquant	0	1722.74600757	34.5858971996	1.0	3.0	
71	71	-105.940099	4.665624	-6279567.324	276553.4707	6182	4.651679	-105.954572	4.675499	-105.934672	1067.175101	4.677081	-105.931456	-6279054.989	277232.5872	6186	0	Vent	73	1.71851920376	NotEquant	0	1833.96090484	39.7822072156	1.0	3.0	
72	72	-105.911158	4.483153	-6277851.838	265737.5453	6240	4.457599	-105.922917	4.497551	-105.910102	221.327846	4.45824	-105.926434	-6278757.327	264260.8374	6248	0	Vent	74	11.2129923769	NotEquant	0	2481.74744999	17.7327858092	2.0	3.0	
73	73	-105.727275	4.447506	-6266952.231	263624.5696	6330	4.42949	-105.744462	4.452255	-105.722149	239.563609	4.442723	-105.73013	-6267121.481	263341.0755	6337	0	Vent	75	7.86120020528	NotEquant	0	1883.25749225	44.3385306254	278.0	3.0	
74	74	-105.897732	4.384259	-6277056.021	259875.6067	6223	4.370464	-105.906778	4.394284	-105.899089	238.627607	4.392175	-105.896145	-6276961.946	260344.8528	6224	0	Vent	76	6.20442855546	NotEquant	0	1480.54793899	17.840592511	1.0	3.0	
75	75	-105.814205	4.282385	-6272105.009	253837.0985	6209	4.261806	-105.827472	4.290753	-105.812245	131.176486	4.260777	-105.825865	-6272796.114	252556.2624	6214	0	Vent	77	14.743770884	NotEquant	0	1934.03605495	27.6794044789	12.0	3.0	
76	76	-105.634302	4.300456	-6261441.293	254908.2308	6198	4.276409	-105.645157	4.321035	-105.626613	187.378731	4.283677	-105.645431	-6262100.945	253913.6743	6207	0	Vent	78	15.2529535669	NotEquant	0	2858.07908336	22.5071273449	6.0	3.0	
77	77	-105.941904	3.875595	-6279674.344	229724.7211	6096	3.865268	-105.952307	3.878083	-105.943412	395.168908	3.877979	-105.939799	-6279549.522	229866.045	6096	0	Vent	79	2.33390729284	NotEquant	0	922.287596286	34.7032444041	44.0	3.0	
78	78	-105.960377	3.829414	-6280769.279	226987.3831	6082	3.814414	-105.972438	3.840496	-105.956306	139.980021	3.808642	-105.97394	-6281573.218	225756.0879	6088	0	Vent	80	12.9546391751	NotEquant	0	1813.39066378	31.6794970423	27.0	3.0	
79	79	-105.828662	3.591685	-6272961.915	212896.0431	6085	3.595379	-105.833788	3.583619	-105.831828	408.108384	3.588616	-105.823808	-6272674.19	212714.0991	6088	0	Vent	81	1.72836505505	NotEquant	0	705.360269578	170.555844693	80.0	3.0	
80	80	-105.901346	3.620598	-6277270.247	214609.8547	6022	3.587656	-105.925317	3.645851	-105.891848	158.476048	3.613963	-105.902451	-6277335.761	214216.5596	6022	0	Vent	82	25.0515286172	NotEquant	0	3970.06725161	29.8535930343	6.0	3.0	
81	81	-105.774048	3.284886	-6269724.715	194710.5975	5884	3.263402	-105.782491	3.288278	-105.777214	642.321286	3.284814	-105.790681	-6270710.598	194706.3663	5888	0	Vent	83	2.34224824011	NotEquant	0	1504.47590172	11.9575766877	1.0	3.0	
82	82	-106.180035	3.447521	-6293789.487	204350.7879	5925	3.428601	-106.218178	3.516194	-106.13541	65.017072	3.518563	-106.129995	-6290823.377	208561.767	5947	0	Vent	84	109.572824512	NotEquant	0	7124.10422052	43.3226357655	1.0	3.0	
83	83	-106.024876	3.04248	-6284592.469	180342.0854	5895	3.037279	-106.030153	3.049491	-106.025178	183.354381	3.035699	-106.026447	-6284685.557	179940.1161	5898	0	Vent	85	4.25429797349	NotEquant	0	780.044171519	22.1369303859	50.0	3.0	
84	84	-106.408155	3.13928	-6307311.19	186079.8622	5840	3.088699	-106.435594	3.17584	-106.394435	168.218624	3.144491	-106.401873	-6306938.839	186388.7438	5852	0	Vent	86	33.887290624	NotEquant	0	5700.47339986	25.2484197574	19.0	3.0	
85	85	-106.298763	3.282265	-6300827.001	194555.2589	5870	3.246157	-106.318814	3.31385	-106.282933	274.307326	3.317481	-106.278323	-6299615.451	196642.678	5874	0	Vent	87	16.5194241857	NotEquant	0	4531.39907544	27.8861643428	1.0	3.0	
86	86	-106.25914	2.91705	-6298478.397	172907.2578	5791	2.883311	-106.278936	2.947652	-106.246766	97.970787	2.871007	-106.300115	-6300907.137	170178.0984	5800	0	Vent	88	43.4319719519	NotEquant	0	4255.06447309	26.5342069415	9.0	3.0	
87	87	-106.133382	2.873121	-6291024.132	170303.3709	5803	2.852086	-106.143852	2.912049	-106.121771	82.542616	2.887041	-106.129014	-6290765.179	171128.4656	5805	0	Vent	89	45.7962563499	NotEquant	0	3780.14280213	20.1918564699	1.0	3.0	
88	88	-106.107422	2.304955	-6289485.346	136625.5168	5669	2.27821	-106.117511	2.354543	-106.092765	145.382592	2.300886	-106.105709	-6289383.796	136384.3353	5674	0	Vent	90	32.654513132	NotEquant	0	4747.39775963	17.947673544	4.0	3.0	
89	89	-106.118158	2.73843	-6290121.688	162319.6029	5786	2.706521	-106.154325	2.833585	-106.017625	246.823205	2.699668	-106.161559	-6292694.291	160022.0314	5798	0	Vent	91	44.7104372304	NotEquant	0	11035.5734142	47.055547057	12.0	3.0	
90	90	-106.244968	3.110315	-6297638.323	184362.9603	5833	3.118301	-106.250186	3.094316	-106.248663	227.42312	3.120391	-106.245282	-6297656.94	184960.2442	5836	0	Vent	92	6.25249555495	NotEquant	0	1421.96204689	176.371992169	1.0	3.0	
91	91	-106.273699	2.604146	-6299341.365	154359.9874	5769	2.551513	-106.286263	2.621564	-106.272557	163.572044	2.605645	-106.270415	-6299146.727	154448.8438	5773	0	Vent	93	25.8180623975	NotEquant	0	4223.11323848	11.0591847535	8.0	3.0	
