	FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
489	489	-98.1449	-14.7045	6924	-14.7132	-98.1711	-14.7193	-98.1283	700	-5.81975e+06	-872151	6948	0	Vent	-81.6286	2477.34	3.53906	0	NotEquant	0	6	Syria Planum
490	490	-98.4183	-14.6304	7062	-14.6136	-98.433	-14.6286	-98.4134	484.8	-5.83507e+06	-866117	7073	0	Vent	-51.5944	1432.33	2.95447	0	NotEquant	0	6	Syria Planum
491	491	-98.6519	-14.3627	7172	-14.3517	-98.6476	-14.3582	-98.6407	306.9	-5.84712e+06	-850458	7175	0	Vent	-45.7291	548.573	1.78746	0	NotEquant	0	6	Syria Planum
492	492	-98.3899	-15.4908	6763	-15.4908	-98.4035	-15.4965	-98.3829	1182.8	-5.83275e+06	-918934	6771	0	Vent		1219.86	1.03133	1	Equant	0	6	Syria Planum
493	493	-98.3477	-15.7866	6733	-15.7918	-98.3618	-15.8022	-98.3493	179.5	-5.82997e+06	-937010	6748	0	Vent	-49.1738	941.425	5.24471	0	NotEquant	0	6	Syria Planum
494	494	-97.991	-15.2686	6765	-15.2694	-98.0055	-15.2748	-97.9877	434.5	-5.80682e+06	-906042	6783	0	Vent	-72.4493	1064.96	2.45101	0	NotEquant	0	6	Syria Planum
495	495	-98.0366	-15.7301	6848	-15.7307	-98.042	-15.7357	-98.0333	531	-5.81055e+06	-932433	6849	0	Vent		578.463	1.08938	1	Equant	0	6	Syria Planum
496	496	-98.2987	-16.0149	6729	-16.013	-98.3103	-16.013	-98.3055	141.2	-5.82715e+06	-949508	6729	0	Vent	-89.9993	272.81	1.93208	0	NotEquant	0	6	Syria Planum
497	497	-98.3842	-15.901	6682	-15.8988	-98.3826	-15.9143	-98.3876	347.3	-5.83141e+06	-942175	6687	0	Vent	17.1604	963.654	2.7747	0	NotEquant	0	6	Syria Planum
498	498	-98.1107	-17.0974	6350	-17.0907	-98.126	-17.1118	-98.1078	870.5	-5.81753e+06	-1.01249e+06	6360	0	Vent	-39.3551	1616.9	1.85744	0	NotEquant	0	6	Syria Planum
499	499	-98.3158	-16.8866	6426	-16.8763	-98.3426	-16.8803	-98.3326	338	-5.82907e+06	-1.00095e+06	6434	0	Vent	-67.3113	613.294	1.81448	0	NotEquant	0	6	Syria Planum
500	500	-98.5665	-16.898	6394	-16.8891	-98.5722	-16.8968	-98.5673	264.1	-5.84299e+06	-1.00045e+06	6398	0	Vent	-31.0676	532.502	2.01629	0	NotEquant	0	6	Syria Planum
501	501	-97.6834	-14.8071	6705	-14.8051	-97.6872	-14.8086	-97.6808	117.4	-5.78976e+06	-877731	6709	0	Vent	-61.1134	419.745	3.57534	0	NotEquant	0	6	Syria Planum
502	502	-97.4555	-14.5393	6756	-14.5516	-97.4638	-14.5416	-97.4472	384.8	-5.77575e+06	-862408	6761	0	Vent	58.0605	1117.68	2.90457	0	NotEquant	0	6	Syria Planum
503	503	-97.4612	-16.4764	6274	-16.4736	-97.4812	-16.4826	-97.4687	313.2	-5.77674e+06	-976826	6281	0	Vent	-53.3183	883.819	2.8219	0	NotEquant	0	6	Syria Planum
504	504	-97.4669	-16.5847	6289	-16.5827	-97.4809	-16.5842	-97.4728	167.6	-5.77767e+06	-982387	6291	0	Vent	-79.0631	463.768	2.76711	0	NotEquant	0	6	Syria Planum
505	505	-97.8714	-17.5305	6031	-17.5252	-97.8648	-17.5463	-97.8619	424.6	-5.79986e+06	-1.03942e+06	6043	0	Vent	-7.45651	1258.05	2.96291	0	NotEquant	0	6	Syria Planum
506	506	-97.2447	-16.8012	6180	-16.8019	-97.2604	-16.8698	-97.1633	166.4	-5.76285e+06	-997235	6219	0	Vent	-53.8639	6806.23	40.9028	0	NotEquant	0	6	Syria Planum
507	507	-97.3415	-16.9664	6115	-16.9623	-97.3319	-16.9841	-97.3115	448.8	-5.76791e+06	-1.00653e+06	6122	0	Vent	-41.7845	1727.65	3.8495	0	NotEquant	0	6	Syria Planum
