FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017
78	-105.960377	3.829414	-6280769.279	226987.3831	6082	3.814414	-105.972438	3.840496	-105.956306	139.980021	3.808642	-105.97394	-6281573.218	225756.0879	6088	0	"Vent"	80
79	-105.828662	3.591685	-6272961.915	212896.0431	6085	3.595379	-105.833788	3.583619	-105.831828	408.108384	3.588616	-105.823808	-6272674.19	212714.0991	6088	0	"Vent"	81
80	-105.901346	3.620598	-6277270.247	214609.8547	6022	3.587656	-105.925317	3.645851	-105.891848	158.476048	3.613963	-105.902451	-6277335.761	214216.5596	6022	0	"Vent"	82
81	-105.774048	3.284886	-6269724.715	194710.5975	5884	3.263402	-105.782491	3.288278	-105.777214	642.321286	3.284814	-105.790681	-6270710.598	194706.3663	5888	0	"Vent"	83
82	-106.180035	3.447521	-6293789.487	204350.7879	5925	3.428601	-106.218178	3.516194	-106.13541	65.017072	3.518563	-106.129995	-6290823.377	208561.767	5947	0	"Vent"	84
83	-106.024876	3.04248	-6284592.469	180342.0854	5895	3.037279	-106.030153	3.049491	-106.025178	183.354381	3.035699	-106.026447	-6284685.557	179940.1161	5898	0	"Vent"	85
84	-106.408155	3.13928	-6307311.19	186079.8622	5840	3.088699	-106.435594	3.17584	-106.394435	168.218624	3.144491	-106.401873	-6306938.839	186388.7438	5852	0	"Vent"	86
85	-106.298763	3.282265	-6300827.001	194555.2589	5870	3.246157	-106.318814	3.31385	-106.282933	274.307326	3.317481	-106.278323	-6299615.451	196642.678	5874	0	"Vent"	87
86	-106.25914	2.91705	-6298478.397	172907.2578	5791	2.883311	-106.278936	2.947652	-106.246766	97.970787	2.871007	-106.300115	-6300907.137	170178.0984	5800	0	"Vent"	88
87	-106.133382	2.873121	-6291024.132	170303.3709	5803	2.852086	-106.143852	2.912049	-106.121771	82.542616	2.887041	-106.129014	-6290765.179	171128.4656	5805	0	"Vent"	89
